,name,type,date,want,country
0,上海堡垒,爱情 / 战争 / 科幻,08月09日,27050,中国大陆
1,使徒行者2：谍影行动,剧情 / 动作 / 犯罪,08月07日,14416,中国大陆
2,古田军号,剧情 / 历史 / 战争,08月01日,10296,中国大陆
3,若能与你共乘海浪之上,爱情 / 动画 / 奇幻,08月07日,9541,日本
4,烈火英雄,剧情 / 灾难,08月01日,9492,中国大陆
5,童童的风铃密室,悬疑 / 惊悚,08月09日,5199,中国大陆
6,冰雪女王4：魔镜世界,动画 / 奇幻 / 冒险,08月02日,4555,俄罗斯
7,丛林历险记,剧情 / 儿童 / 冒险,08月08日,4004,中国大陆
8,鼠胆英雄,喜剧,08月02日,3547,中国大陆
9,丑娃娃,喜剧 / 动画 / 奇幻,08月09日,2336,中国大陆
10,红花绿叶,剧情 / 爱情,08月05日,1481,中国大陆
11,最美的地方遇见你,剧情 / 爱情,08月02日,1291,中国大陆
12,梦想之战：踢球吧阿妹,儿童 / 喜剧 / 运动,08月02日,1188,中国大陆
13,凌晨两点半2,悬疑 / 惊悚 / 恐怖,08月09日,838,中国大陆
14,歌唱动荡的青春,剧情 / 爱情,08月02日,734,中国大陆
15,某日某月,爱情,08月07日,496,香港
16,赛尔号大电影7：疯狂机器城,儿童 / 动画 / 奇幻,08月02日,301,中国大陆
17,红星照耀中国,历史 / 战争,08月08日,241,中国大陆
18,极度危机,剧情 / 战争,08月09日,122,中国大陆
19,萤火奇兵2：小虫不好惹,喜剧 / 动画 / 奇幻,08月09日,80,中国大陆
20,灶神来了,喜剧 / 奇幻,08月02日,50,中国大陆
21,寻找兰小草,剧情,08月09日,33,中国大陆
